Agency,Date,Topic,Review
Department of Defense,"Sep 10, 2015",Health Care,Defense Health Care Reform: Actions Needed to Help Ensure Defense Health Agency Maintains Implementation Progress
Department of Health and Human Services,"Aug 14, 2015",Health Care,Medicare Part D: Changes Needed to Improve CMS's Recovery Audit Program Operations and Contractor Oversight
Department of Health and Human Services,"Apr 10, 2015",Health Care,Medicaid: CMS Oversight of Provider Payments Is Hampered by Limited Data and Unclear Policy
Department of Defense,"Feb 18, 2015",Health Care,Improper Payments: TRICARE Measurement and Reduction Efforts Could Benefit from Adopting Medical Record Reviews
Department of Health and Human Services,"Jan 30, 2015",Health Care,Food Safety: Additional Actions Needed to Help FDA's Foreign Offices Ensure Safety of Imported Food
Social Security Administration,"Nov 10, 2014",Health Care,SSA Disability Benefits: Enhanced Policies and Management Focus Needed to Address Potential Physician-Assisted Fraud
Department of Veterans Affairs,"Sep 30, 2014",Health Care,VA Health Care: Management and Oversight of Consult Process Need Improvement to Help Ensure Veterans Receive Timely Outpatient Specialty Care
Department of Health and Human Services,"Jul 31, 2014",Health Care,Medicare Advantage: CMS Should Fully Develop Plans for Encounter Data and Assess Data Quality before Use
Department of Health and Human Services,"Jul 18, 2014",Health Care,Medicare Program Integrity: Increased Oversight and Guidance Could Improve Effectiveness and Efficiency of Postpayment Claims Reviews
Department of Health and Human Services,"Mar 6, 2014",Health Care,"Electronic Health Record Programs: Participation Has Increased, but Action Needed to Achieve Goals, Including Improved Quality of Care"
Department of Health and Human Services,"Jun 25, 2013",Health Care,"Medicaid Demonstration Waivers: Approval Process Raises Cost Concerns and Lacks Transparency
"
Department of Veterans Affairs,"May 31, 2013",Health Care,VA Health Care: Management and Oversight of Fee Basis Care Need Improvement
Department of Health and Human Services,"Mar 1, 2013",Health Care,End-Stage Renal Disease: CMS Should Improve Design and Strengthen Monitoring of Low-Volume Adjustment
Department of Veterans Affairs,"Dec 21, 2012",Health Care,VA Health Care: Reliability of Reported Outpatient Medical Appointment Wait Times and Scheduling Oversight Need Improvement
Department of Defense,"Nov 16, 2012",Health Care,Recovering Servicemembers and Veterans: Sustained Leadership Attention and Systematic Oversight Needed to Resolve Persistent Problems Affecting Care and Benefits
Department of Health and Human Services,"Nov 13, 2012",Health Care,Medicaid Integrity Program: CMS Should Take Steps to Eliminate Duplication and Improve Efficiency
Department of Health and Human Services,"Nov 13, 2012",Health Care,Medicare Program Integrity: Greater Prepayment Control Efforts Could Increase Savings and Better Ensure Proper Payment
Department of Health and Human Services,"Sep 27, 2012",Health Care,Medicare: Higher Use of Advanced Imaging Services by Providers Who Self-Refer Costing Medicare Millions
Department of Health and Human Services,"Sep 13, 2012",Health Care,Medicare Special Needs Plans: CMS Should Improve Information Available about Dual-Eligible Plans' Performance
Department of Health and Human Services,"Jan 12, 2012",Health Care,Medicare Advantage: CMS Should Improve the Accuracy of Risk Score Adjustments for Diagnostic Coding Practices
