Agency,Date,Topic,Review
Department of Housing and Urban Development,"Dec 10, 2014",Information Security/Technology,"To establish an enterprise-wide view of cost savings and operational efficiencies generated by investments and governance processes, the Secretary of Housing and Urban Development should direct the Deputy Secretary and Chief Information Officer to place a higher priority on identifying governance-related cost savings and efficiencies and establish and institutionalize a process for identifying and tracking comprehensive, high-quality data on savings and efficiencies resulting from IT investments and the IT governance process."
Department of Defense,"Sep 25, 2014",Information Security/Technology,"The Secretaries of Agriculture, Commerce, Defense, Energy, the Interior, Transportation, the Treasury, and Department of Veterans Affairs; the Administrators of the Environmental Protection Agency and NASA; and the Director of the Office of Personnel Management should direct responsible officials to report all data center consolidation cost savings and avoidances to OMB in accordance with established guidance."
Department of the Treasury,"Sep 25, 2014",Information Security/Technology,"The Secretaries of Agriculture, Commerce, Defense, Energy, the Interior, Transportation, the Treasury, and Department of Veterans Affairs; the Administrators of the Environmental Protection Agency and NASA; and the Director of the Office of Personnel Management should direct responsible officials to report all data center consolidation cost savings and avoidances to OMB in accordance with established guidance."
Executive Office of the President,"Jun 30, 2014",Information Security/Technology,"To improve the completeness and accuracy of data submissions to the USASpending.gov website, the Director of the Office of Management and Budget, in collaboration with Treasury's Fiscal Service, should clarify guidance on (1) agency responsibilities for reporting awards funded by non-annual appropriations; (2) the applicability of USASpending.gov reporting requirements to non-classified awards associated with intelligence operations; (3) the requirement that award titles describe the award's purpose (consistent with our prior recommendation); and (4) agency maintenance of authoritative records adequate to verify the accuracy of required data reported for use by USASpending.gov."
Department of Commerce,"May 22, 2014",Information Security/Technology,"To ensure the effective management of software licenses, the Secretary of Commerce should establish a comprehensive inventory of software licenses using automated tools for the majority of agency software license spending and/or enterprise-wide licenses."
Department of Defense,"May 22, 2014",Information Security/Technology,"To ensure the effective management of software licenses, the Secretary of Defense should analyze agency-wide software license data, such as costs, benefits, usage, and trending data, to identify opportunities to reduce costs and better inform investment decision making."
Small Business Administration,"May 22, 2014",Information Security/Technology,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should develop an agency-wide comprehensive policy for the management of software licenses that addresses the weaknesses we identified."
Department of Housing and Urban Development,"Feb 12, 2014",Information Security/Technology,"To ensure effective management and modernization of HUD's IT environment, the Secretary of Housing and Urban Development should direct the department's Chief Information Officer to define the scope, implementation strategy, and schedule of its overall modernization approach, with related goals and measures for effectively overseeing the effort."
Department of Housing and Urban Development,"Jun 11, 2013",Information Security/Technology,"To ensure that HUD effectively and efficiently manages its modernization efforts aimed at improving its IT environment to support mission needs, the Secretary of Housing and Urban Development should direct the Deputy Secretary to establish a plan of action that identifies specific time frames for correcting the deficiencies highlighted in this report for both its ongoing projects, as applicable, and its planned projects, to include (1) developing charters that define what constitutes project success and establish accountability, (2) finalizing deliverable-oriented work breakdown structures and associated dictionaries that define the detailed work needed to accomplish project objectives, (3) completing comprehensive project management plans that reflect cost and schedule baselines and fully incorporate subsidiary management plans, (4) establishing requirements management plans that include prioritization methods to be applied and metrics for determining how products address requirements, (5) completing matrixes to include requirements traceability from mission needs through implementation, and (6) establishing strategies to guide how acquisitions are managed in accordance with other processes and that performance metrics are established."
Environmental Protection Agency,"May 10, 2013",Information Security/Technology,"To ensure that EPA maximizes its limited resources and addresses the statutory, regulatory, and programmatic needs of EPA program offices and regions when IRIS toxicity assessments are not available, and once demand for the IRIS Program is determined, the EPA Administrator should direct the Deputy Administrator, in coordination with EPA's Science Advisor, to develop an agencywide strategy to address the unmet needs of EPA program offices and regions that includes, at a minimum: (1) coordination across EPA offices and with other federal research agencies to help identify and fill data gaps that preclude the agency from conducting IRIS toxicity assessments, and (2) guidance that describes alternative sources of toxicity information and when it would be appropriate to use them when IRIS values are not available, applicable, or current."
Department of the Treasury,"Apr 16, 2013",Information Security/Technology,"The Acting Commissioner of the Internal Revenue Service should direct appropriate officials to develop a long-term strategy to improve web services provided to taxpayers, in accordance with Howto.gov and other federal guidance outlined in our report. To accomplish this, the IRS should develop business cases for all new online services, describing the potential benefits and costs of the project, and use them to prioritize future projects."
Department of the Treasury,"Oct 16, 2012",Information Security/Technology,"To ensure that major steady state IT investments are being adequately analyzed, the Secretaries of Defense, Veterans Affairs, and the Treasury should direct appropriate officials to develop an OA policy, annually perform OAs on all investments, and ensure the assessments include all key factors."
Environmental Protection Agency,"Dec 9, 2011",Information Security/Technology,"To better ensure the credibility of IRIS assessments by enhancing their timeliness and certainty, the EPA Administrator should require the Office of Research and Development to assess the feasibility and appropriateness of the established time frames for each step in the IRIS assessment process and determine whether different time frames should be established, based on complexity or other criteria, for different types of IRIS assessments."
Environmental Protection Agency,"Mar 7, 2008",Information Security/Technology,Chemical Assessments: Low Productivity and New Interagency Review Process Limit the Usefulness and Credibility of EPA's Integrated Risk Information System
