titles,Type,Office/Agency,dates
"Nursing Homes: Private Investment Homes Sometimes Differed from Others in Deficiencies, Staffing, and Financial Performance",Summary,GAO,"Published: Jul 15, 2011. Publicly Released: Aug 15, 2011."
GAO Human Capital Management: Efforts Taken to Ensure Effective Campus Recruitment,Audit,GAO,"Published: Jun 21, 2011. Publicly Released: Jun 21, 2011."
Public Radio and the Role of Federal Funding,Summary,Congress,"Published: May 19, 2011. Publicly Released: Jun 20, 2011."
Financial Management: Audit of the Senate Gift Shop Revolving Fund for Fiscal Year 2010,Audit,Congress,"Published: Apr 6, 2011. Publicly Released: Apr 6, 2011."
Financial Management: Audit of the Senate Stationery Room Revolving Fund for Fiscal Year 2010,Audit,Congress,"Published: Apr 6, 2011. Publicly Released: Apr 6, 2011."
State and Local Governments' Fiscal Outlook: April 2011 Update,Update,Bureau of Economic Analysis,"Published: Apr 6, 2011. Publicly Released: Apr 6, 2011."
Factors for Evaluating the Cost Share of Manufacturing Extension Partnership Program to Assist Small and Medium-Sized Manufacturers,Summary,GAO,"Published: Apr 4, 2011. Publicly Released: Apr 4, 2011."
"The Federal Government's Long-Term Fiscal Outlook: January 2011 Update [Reissued on March 22, 2011]",Update,Congress,"Published: Mar 18, 2011. Publicly Released: Mar 18, 2011."
Climate Change Issues: Options for Addressing Challenges to Carbon Offset Quality,Summary,GAO,"Published: Feb 15, 2011. Publicly Released: Mar 17, 2011."
Fiscal Year 2012 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,"Published: Mar 17, 2011. Publicly Released: Mar 17, 2011."
