Candidate Office Sought,Name to Appear on Ballot,Code,Precinct,Incumbent,Gender
"City Council Member, District 4",Elizabeth Whitmore,30314,04A,,F
"City Council Member, District 5",Liliana Bakhtiari,30312,05A1,,F
"City Council Member, District 5",Natalyn Mosby Archibong,30316,05L,X,F
"City Council Member, District 5",Dan Burroughs,30310,04X1,,M
"City Council Member, District 6",Kirk Rich,30324,06D,,M
"City Council Member, District 6",Jennifer N. Ide,30306,06D,,F
"City Council Member, District 7",Howard Shook,30319,07C,X,M
"City Council Member, District 7",Rebecca L. King,30326,07A,,F
"City Council Member, District 8",Anna Tillman,30327,8A,,F
"City Council Member, District 8",J.P. Matzgkeit,30342,08C,,M
"City Council Member, District 9",Dustin Hillis,30318,09M,,M
"City Council Member, District 9",William Harrison,30325,09A,,M
"City Council Member, District 9",Duwon Robinson,30318,09K,,M
"City Council Member, District 9",Jared Lanier Samples,30318,9C,,M
"City Council Member, District 9","Angela ""Angy"" Moss",30318,9I,,F
"City Council Member, District 9",Kwame Abernathy,30318,9C,,M
"City Council Member, District 9",Gabriel Lavine,30318,09E,,M
"City Council Member, District 10",Andrea Boone,30331,10A,,F
"City Council Member, District 10",Beverly Rice,30311,10G,,F
"City Council Member, District 10",Kenny Hill,30311,10D,,M
"City Council Member, District 11",Marci Collier Overstreet,30311,11M,,F
"City Council Member, District 11",Edith Ladipo,30311,11K,,F
"City Council Member, District 11",Brionte McCorkle,30311,11H,,F
"City Council Member, District 11",LaTarsha D. Holden,30311,11G,,F
"City Council Member, District 11",Debra F. Harris,30331,11N,,F
"City Council Member, District 11",Harold Hardnett,30311,11M,,M
"City Council Member, District 11",Anthony Johnson,30311,11K,,M
"City Council Member, District 11","Georgianne ""Doc"" Thomas",30311,11M,,F
"City Council Member, District 12",Randy Gibbs,30310,12K,,M
"City Council Member, District 12",Michael Jackson,30315,"“11E1""",,M
"City Council Member, District 12",Joyce Sheperd,30310,12A,X,F
"City Council Member, District 12",Diana Watley,30310,12A,,F
"oard of Education Member, District 1",Ade Oguntoye,30315,01J,,M
"oard of Education Member, District 1",Leslie Grant,30312,O1E,X,F
"oard of Education Member, District 2",Tony Burks,30314,03E,,M
"oard of Education Member, District 2",Byron Amos,30314,03T,X,M
"oard of Education Member, District 2",Keisha Carey,30314,3T,,F
"oard of Education Member, District 3",Adzua Agyapon,30316,05A1,,F
"oard of Education Member, District 3",Lewis Cartee,30316,5L,,M
"oard of Education Member, District 3",Michelle Olympiadis-Constantinid30306,,06D,,F
"oard of Education Member, District 3",Antoine Raynard Trammell,30306,06M,,M
"oard of Education Member, District 3",Rashida Winfrey,30309,06R,,F
"oard of Education Member, District 4",Nancy Meister,30305,07F,X,F
"oard of Education Member, District 5",Jackye Rhodes,30311,10G,,F
"oard of Education Member, District 5",Bobby K. Montgomery,30318,09A,,F
"oard of Education Member, District 5",Jatisha Marsh,30331,10B,,F
"oard of Education Member, District 5",Erika Yvette Mitchell,30318,10F,,F
"oard of Education Member, District 5","D'Jaris ""DJ"" James",30331,11E,,F
"oard of Education Member, District 5",Raynard Johnson,30310,10M,,M
"Board of Education Member, District 6",Eshe' Collins,30331,“11E3”,X,F
"Board of Education Member, District 6",Valrie Walker Sanders,30311,11K,,F
"Board of Education Member, District 6",Patreece Hutcherson,30331,"“11E2""",,F
"Board of Education Member, District 6",Donta A. McMicheal,30331,“11E3”,,M
"Board of Education Member, District 7 At Large",John Wright,30315,01E,,M
"Board of Education Member, District 7 At Large",Nathaniel Borrell Dyer,30314,03E,,M
"Board of Education Member, District 7 At Large","Patricia ""Granny P"" Crayton",30314,03C,,F
"Board of Education Member, District 7 At Large",Kandis Wood Jackson,30309,02A,,F
"Board of Education Member, District 7 At Large",Micah A. Rowland,30312,04V,,M
"Board of Education Member, District 8 At Large",Cynthia Briscoe Brown,30327,08N2,X,F
"Board of Education Member, District 8 At Large",Ben Stone,30306,06D,,M
"Board of Education Member, District 8 At Large",Charlie Stadtlander,30324,06E,,M
"Board of Education Member, District 9 At Large",Jason Esteves,30318,09A,X,M
