Occupation (SOC code),Employment(1),Hourly 10th percentile wage,Hourly median wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs"
"Inspectors, Testers, Sorters, Samplers, and Weighers(519061)",7800,9.58,16.25,29.56,19920,61480,3.055
Jewelers and Precious Stone and Metal Workers(519071),290,11.53,21.8,31.14,23970,64770,0.113
Dental Laboratory Technicians(519081),690,11.58,16.91,28.17,24080,58600,0.271
Medical Appliance Technicians(519082),150,11.71,18.05,29.64,24350,61660,0.059
Ophthalmic Laboratory Technicians(519083),360,8.49,12.82,18.75,17670,39000,0.143
Packaging and Filling Machine Operators and Tenders(519111),8870,8.78,13.46,24.58,18270,51120,3.472
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders(519121)",1150,10.21,14.77,24.25,21240,50440,0.45
"Painters, Transportation Equipment(519122)",710,15.81,24.27,39.17,32890,81470,0.278
"Painting, Coating, and Decorating Workers(519123)",160,10.68,17.9,29.45,22220,61250,0.063
Semiconductor Processors(519141),110,14.27,16.82,18.88,29680,39270,0.043
Photographic Process Workers and Processing Machine Operators(519151),510,9.83,12.68,23.1,20450,48050,0.198
Adhesive Bonding Machine Operators and Tenders(519191),500,10.21,13.17,18.49,21240,38460,0.197
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders(519192)",-,8.83,13.5,18.41,18380,38300,-
Cooling and Freezing Equipment Operators and Tenders(519193),90,10.07,13.09,22.65,20950,47120,0.036
Etchers and Engravers(519194),-,8.01,11.34,21.29,16660,44290,-
"Molders, Shapers, and Casters, Except Metal and Plastic(519195)",420,9.76,13.28,22.32,20300,46420,0.165
"Paper Goods Machine Setters, Operators, and Tenders(519196)",1510,8.79,15.83,24.14,18280,50210,0.592
Tire Builders(519197),1460,-,-,-,-,-,0.571
Helpers--Production Workers(519198),6640,8.17,11.5,18.39,16990,38260,2.6
"Production Workers, All Other(519199)",5410,8.1,10.8,18.85,16840,39210,2.12
Transportation and Material Moving Occupations(530000),215540,8.69,14.4,28.1,18070,58440,84.414
Aircraft Cargo Handling Supervisors(531011),530,18.06,40.24,59.46,37560,123670,0.208
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand(531021)",5170,12.56,23.03,38.11,26130,79270,2.024
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators(531031),4030,17.63,27.47,40.6,36680,84440,1.578
"Airline Pilots, Copilots, and Flight Engineers(532011)",6700,-,-,-,52890,129440,2.625
Commercial Pilots(532012),420,-,-,-,35300,-,0.165
Air Traffic Controllers(532021),770,52.04,70.66,85.12,108250,177050,0.302
Airfield Operations Specialists(532022),440,20.47,27.89,38.16,42590,79370,0.172
Flight Attendants(532031),-,-,-,-,32040,62210,-
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians(533011)",-,8.31,11.31,21.88,17280,45510,-
"Bus Drivers, Transit and Intercity(533021)",2720,11.51,15.74,22.99,23950,47810,1.065
"Bus Drivers, School or Special Client(533022)",11520,8.5,15.45,21.97,17690,45700,4.512
Driver/Sales Workers(533031),8250,7.81,9.46,19.02,16250,39560,3.232
Heavy and Tractor-Trailer Truck Drivers(533032),32280,10.88,20.01,29.25,22620,60850,12.643
Light Truck or Delivery Services Drivers(533033),15560,9.33,15.16,31.21,19410,64920,6.096
Taxi Drivers and Chauffeurs(533041),2250,7.8,9.42,16.51,16210,34330,0.88
"Motor Vehicle Operators, All Other(533099)",930,7.84,9.29,21.79,16300,45330,0.364
Parking Lot Attendants(536021),2820,7.74,9.23,13.96,16100,29030,1.105
Automotive and Watercraft Service Attendants(536031),2100,8.06,10.15,14.49,16760,30150,0.824
Traffic Technicians(536041),310,14.29,18.52,27.14,29710,56450,0.121
Transportation Inspectors(536051),1030,8.6,38.63,55.2,17890,114810,0.405
"Transportation Attendants, Except Flight Attendants(536061)",170,7.66,8.63,10.76,15940,22380,0.068
"Transportation Workers, All Other(536099)",1040,8.45,13.46,25.55,17580,53140,0.405
Conveyor Operators and Tenders(537011),270,10.92,16.47,23.15,22700,48150,0.108
Crane and Tower Operators(537021),510,15.45,23.1,31.26,32140,65020,0.199
Excavating and Loading Machine and Dragline Operators(537032),670,14.5,18.43,23.82,30170,49550,0.264
Industrial Truck and Tractor Operators(537051),16620,10.66,14.93,22.23,22170,46250,6.507
Cleaners of Vehicles and Equipment(537061),4600,8,9.66,15.16,16640,31520,1.803
"Laborers and Freight, Stock, and Material Movers, Hand(537062)",68510,8.57,11.79,19.18,17830,39900,26.83
Machine Feeders and Offbearers(537063),1040,9.03,12.67,19.63,18790,40830,0.406
"Packers and Packagers, Hand(537064)",13740,8.05,10.3,18.34,16740,38160,5.38
"Pump Operators, Except Wellhead Pumpers(537072)",80,-,-,-,-,-,0.031
Refuse and Recyclable Material Collectors(537081),1260,11.71,15.57,24.73,24360,51430,0.493
"Tank Car, Truck, and Ship Loaders(537121)",40,9.95,14.52,24.11,20690,50140,0.016
"Material Moving Workers, All Other(537199)",350,-,-,-,-,-,0.138
