Number of Births, Birth Rate by Residence
Fannin	208 	35.2 	217 	36.1 	179 	29.4 	604 	33.5 	

Fayette	903 	26.6 	848 	25.1 	900 	26.9 	2,651 	26.2 	

Floyd	1,125 	38.3 	1,248 	42.5 	1,224 	41.7 	3,597 	40.8 	

Forsyth	2,317 	34.8 	2,350 	34.0 	2,451 	34.2 	7,118 	34.3 	

Franklin	255 	40.2 	269 	42.1 	269 	42.5 	793 	41.6 	

Fulton	12,732 	37.6 	12,593 	36.7 	12,251 	35.3 	37,576 	36.5 	

Gilmer	296 	39.8 	344 	46.0 	342 	45.3 	982 	43.7 	

Glascock	27 	29.7 	21 	22.7 	34 	38.5 	82 	30.2 	

Glynn	997 	40.7 	982 	39.8 	932 	37.6 	2,911 	39.4 	

Gordon	690 	39.7 	705 	40.5 	722 	41.2 	2,117 	40.5 	

Grady	323 	42.9 	329 	44.0 	363 	49.8 	1,015 	45.5 	

Greene	166 	41.0 	177 	44.0 	151 	37.4 	494 	40.8 	

Gwinnett	11,656 	39.0 	11,949 	39.3 	11,772 	38.5 	35,377 	38.9 	

Habersham	504 	37.1 	471 	34.4 	532 	38.8 	1,507 	36.8 	

Hall	2,511 	43.1 	2,754 	46.7 	2,570 	43.0 	7,835 	44.3 	

Hancock	73 	37.4 	67 	35.0 	62 	32.8 	202 	35.1 	

Haralson	345 	39.4 	365 	41.4 	315 	35.9 	1,025 	38.9 	

Harris	273 	28.5 	297 	30.8 	290 	30.1 	860 	29.8 	

Hart	276 	40.0 	284 	41.1 	283 	41.1 	843 	40.7 	

Heard	112 	32.7 	114 	33.5 	147 	43.5 	373 	36.6 	

Henry	2,476 	33.3 	2,404 	31.9 	2,312 	30.2 	7,192 	31.8 	

Houston	1,924 	39.7 	2,089 	43.2 	1,997 	40.9 	6,010 	41.3 	

Irwin	103 	40.8 	92 	36.1 	105 	40.9 	300 	39.3 	

Jackson	798 	41.9 	795 	40.7 	832 	41.8 	2,425 	41.5 	

Jasper	164 	40.6 	156 	38.5 	169 	42.2 	489 	40.4 	

Jeff Davis	208 	47.4 	211 	47.6 	219 	49.0 	638 	48.0 	

Jefferson	208 	44.3 	203 	44.4 	218 	48.5 	629 	45.7 	

Jenkins	102 	42.7 	89 	38.2 	100 	43.9 	291 	41.6 	

Johnson	81 	33.6 	86 	36.6 	112 	48.9 	279 	39.6 	

Jones	288 	32.7 	285 	32.7 	325 	37.2 	898 	34.2 	

Lamar	192 	33.0 	215 	37.6 	217 	37.6 	624 	36.0 	

Lanier	154 	48.8 	141 	45.3 	152 	48.6 	447 	47.6 	

Laurens	602 	41.5 	626 	43.6 	663 	46.6 	1,891 	43.9 	

Lee	372 	40.0 	347 	37.5 	324 	35.2 	1,043 	37.6 	

Liberty	1,462 	71.2 	1,442 	75.5 	1,413 	73.0 	4,317 	73.2 	

Lincoln	84 	41.4 	88 	43.0 	81 	39.5 	253 	41.3 	

Long	284 	51.2 	302 	52.5 	281 	46.6 	867 	50.0 	

Lowndes	1,598 	42.5 	1,619 	43.8 	1,537 	40.7 	4,754 	42.3 	

Lumpkin	288 	30.1 	274 	28.6 	304 	31.9 	866 	30.2 	

McDuffie	290 	44.1 	280 	42.8 	303 	46.9 	873 	44.6 	

McIntosh	126 	33.2 	110 	29.9 	108 	29.7 	344 	31.0 	

Macon	128 	35.6 	133 	37.9 	148 	44.1 	409 	39.1 	

Madison	372 	43.5 	333 	39.2 	341 	40.2 	1,046 	41.0 	

Marion	94 	37.7 	87 	35.7 	84 	35.3 	265 	36.2 	

Meriwether	266 	44.0 	260 	43.3 	257 	43.2 	783 	43.5 	

Miller	61 	36.7 	70 	42.4 	54 	32.6 	185 	37.2 	

Mitchell	273 	44.4 	279 	46.2 	253 	42.7 	805 	44.4 	

Monroe	290 	37.2 	247 	31.9 	306 	39.4 	843 	36.2 	

Montgomery	87 	34.7 	87 	34.9 	91 	36.1 	265 	35.2 	

Morgan	199 	38.2 	184 	35.1 	213 	40.5 	596 	37.9 	

Murray	508 	41.3 	468 	37.9 	503 	41.0 	1,479 	40.0 	

Muscogee	3,117 	49.7 	3,021 	48.7 	2,888 	47.2 	9,026 	48.6 	

Newton	1,289 	37.4 	1,339 	38.2 	1,374 	38.7 	4,002 	38.1 	

Oconee	331 	29.8 	352 	31.2 	353 	30.8 	1,036 	30.6 	

Oglethorpe	166 	38.7 	181 	41.8 	133 	30.7 	480 	37.0 	

Paulding	1,883 	37.1 	1,853 	35.9 	1,905 	36.4 	5,641 	36.4 	

Peach	302 	34.9 	285 	33.6 	298 	35.6 	885 	34.7 	

Pickens	334 	40.3 	302 	36.3 	307 	36.6 	943 	37.7 	

Pierce	222 	39.2 	260 	45.6 	235 	41.1 	717 	42.0 	

Pike	167 	29.7 	147 	26.0 	171 	30.2 	485 	28.6 	

Polk	541 	44.4 	529 	43.1 	587 	47.8 	1,657 	45.1 	

Pulaski	95 	24.2 	84 	21.8 	81 	21.6 	260 	22.6 	

Putnam	204 	36.0 	242 	42.7 	224 	39.3 	670 	39.3 	

Quitman	14 	24.8 	30 	54.1 	28 	50.0 	72 	42.9 	

Rabun	159 	38.1 	155 	37.4 	153 	36.6 	467 	37.4 	

Randolph	75 	36.0 	82 	40.8 	74 	37.0 	231 	37.9 	

Richmond	2,935 	46.2 	2,884 	45.8 	2,905 	46.2 	8,724 	46.1 	

Rockdale	983 	34.2 	1,034 	35.7 	992 	34.3 	3,009 	34.7 	

Schley	46 	27.5 	50 	29.8 	55 	33.6 	151 	30.2 	

Screven	168 	40.9 	176 	43.6 	161 	40.7 	505 	41.7 	

Seminole	108 	44.5 	81 	33.8 	94 	40.3 	283 	39.6 	

Spalding	820 	42.9 	807 	42.4 	816 	42.6 	2,443 	42.7 	

Stephens	314 	42.4 	346 	46.6 	292 	39.3 	952 	42.8 	

Stewart	52 	43.6 	37 	32.7 	44 	39.6 	133 	38.7 	

Sumter	365 	37.2 	367 	38.3 	391 	41.4 	1,123 	38.9 	

Talbot	50 	26.9 	47 	26.0 	45 	26.0 	142 	26.3 	

Taliaferro	11 	26.9 	14 	36.5 	13 	34.7 	38 	32.5 	

Tattnall	265 	42.1 	257 	40.8 	261 	41.9 	783 	41.6 	

Taylor	87 	35.3 	78 	32.6 	84 	36.2 	249 	34.7 	

Telfair	130 	35.4 	127 	34.7 	129 	36.2 	386 	35.4 	

Terrell	119 	46.0 	111 	44.0 	103 	41.5 	333 	43.9 	

Thomas	601 	44.5 	546 	40.4 	563 	42.0 	1,710 	42.3 	

Tift	615 	48.0 	584 	45.8 	551 	43.7 	1,750 	45.8 	

Toombs	426 	51.1 	402 	48.6 	378 	45.7 	1,206 	48.5 	

Towns	77 	28.3 	86 	32.3 	100 	37.6 	263 	32.7 	

Treutlen	84 	44.2 	78 	41.4 	71 	38.6 	233 	41.5 	

Troup	952 	43.7 	934 	42.8 	894 	40.8 	2,780 	42.5 	

Turner	111 	49.2 	117 	50.9 	117 	53.2 	345 	51.1 	

Twiggs	94 	41.2 	91 	40.5 	100 	47.3 	285 	42.9 	

Union	170 	33.2 	171 	33.5 	172 	33.4 	513 	33.4 	

Upson	360 	46.6 	320 	41.6 	324 	42.3 	1,004 	43.5 	

Walker	745 	37.2 	783 	39.7 	728 	37.1 	2,256 	38.0 	

Walton	1,064 	38.7 	1,032 	37.3 	1,057 	37.4 	3,153 	37.8 	

Ware	447 	44.6 	501 	50.6 	502 	50.4 	1,450 	48.5 	

Warren	57 	37.9 	51 	34.6 	53 	36.5 	161 	36.4 	

Washington	247 	43.5 	240 	42.8 	209 	37.8 	696 	41.4 	

Wayne	414 	49.8 	403 	48.0 	384 	45.8 	1,201 	47.8 	

Webster	21 	28.3 	29 	39.5 	27 	37.4 	77 	35.0 	

Wheeler	66 	43.1 	59 	39.7 	67 	45.0 	192 	42.6 	

White	263 	33.7 	281 	36.0 	248 	31.3 	792 	33.7 	

Whitfield	1,358 	42.2 	1,444 	44.8 	1,405 	43.5 	4,207 	43.5 	

Wilcox	90 	45.5 	83 	43.4 	100 	52.4 	273 	47.1 	

Wilkes	103 	37.9 	121 	44.9 	86 	32.8 	310 	38.6 	

Wilkinson	121 	45.0 	92 	35.3 	100 	38.7 	313 	39.7 	

Worth	268 	42.8 	253 	41.3 	229 	38.1 	750 	40.8 	

County Summary	130,776 	40.3 	131,333 	40.2 	129,940 	39.6 	392,049 	40.0 	
Copyright © 2003-2017 Version: Georgia Department of Public Health, Office of Health Indicators for Planning, all rights reserved. Contact us - ohip@dhr.state.ga.us
